id,repeat,fold,model_name,ichorcna_strat,feat,.metric,.estimate
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/xgboost_model/xgb10/0-0.03_pairwise/xgboost_input.feat.cnv_sd_length_ctRatio_slRatio.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,xgboost,"[0, 0.03]",All,AUROC,0.8591168091168091
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/xgboost_model/xgb10/0-0.03_pairwise/xgboost_input.feat.cnv_sd_length_ctRatio_slRatio.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,xgboost,"[0, 0.03]",All,AUPRC,0.8963967800123254
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/xgboost_model/xgb10/0-0.03_pairwise/xgboost_input.feat.cnv_sd_length_ctRatio_slRatio.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,xgboost,"[0, 0.03]",All,Accuracy,0.815028901734104
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/xgboost_model/xgb10/0-0.03_pairwise/xgboost_input.feat.cnv_sd_length_ctRatio_slRatio.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,xgboost,"[0, 0.03]",All,Sensitivity,0.8240740740740741
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/xgboost_model/xgb10/0-0.03_pairwise/xgboost_input.feat.cnv_sd_length_ctRatio_slRatio.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,xgboost,"[0, 0.03]",All,Specificity,0.8
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/xgboost_model/xgb10/0-0.03_pairwise/xgboost_input.feat.cnv_sd_length_ctRatio_slRatio.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,xgboost,"[0, 0.03]",All,F1,0.8476190476190476
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/xgboost_model/xgb10/0-0.03_pairwise/xgboost_input.feat.cnv_sd_length_ctRatio_slRatio.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,xgboost,"[0, 0.03]",All,Sensitivity at 99% Specificity,0.06481481481481481
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/xgboost_model/xgb10/0-0.03_pairwise/xgboost_input.feat.cnv_sd_length_ctRatio_slRatio.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,xgboost,"[0, 0.03]",All,Accuracy at 99% Specificity,0.5274074074074074
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/xgboost_model/xgb10/0-0.03_pairwise/xgboost_input.feat.cnv_sd_length_ctRatio_slRatio.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,xgboost,"[0, 0.03]",All,F1 at 99% Specificity,0.1217391304347826
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/xgboost_model/xgb10/0-0.03_pairwise/xgboost_input.feat.cnv_sd_length_ctRatio_slRatio.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,xgboost,"[0, 0.03]",All,Sensitivity at 95% Specificity,0.3333333333333333
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/xgboost_model/xgb10/0-0.03_pairwise/xgboost_input.feat.cnv_sd_length_ctRatio_slRatio.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,xgboost,"[0, 0.03]",All,Accuracy at 95% Specificity,0.627051282051282
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/xgboost_model/xgb10/0-0.03_pairwise/xgboost_input.feat.cnv_sd_length_ctRatio_slRatio.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,xgboost,"[0, 0.03]",All,F1 at 95% Specificity,0.4931506849315068
