id,repeat,fold,model_name,ichorcna_strat,feat,.metric,.estimate
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/lr_model/lr10/0-0.03_pairwise/lr_input.feat.cnv.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,lr,"[0, 0.03]",TF,test_auroc,0.6108262108262108
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/lr_model/lr10/0-0.03_pairwise/lr_input.feat.cnv.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,lr,"[0, 0.03]",TF,test_auprc,0.6772735418590276
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/lr_model/lr10/0-0.03_pairwise/lr_input.feat.cnv.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,lr,"[0, 0.03]",TF,test_acc,0.5606936416184971
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/lr_model/lr10/0-0.03_pairwise/lr_input.feat.cnv.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,lr,"[0, 0.03]",TF,test_ppv,0.6777777777777778
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/lr_model/lr10/0-0.03_pairwise/lr_input.feat.cnv.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,lr,"[0, 0.03]",TF,test_sensitivity,0.5648148148148148
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/lr_model/lr10/0-0.03_pairwise/lr_input.feat.cnv.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,lr,"[0, 0.03]",TF,test_specificity,0.5538461538461539
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/lr_model/lr10/0-0.03_pairwise/lr_input.feat.cnv.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,lr,"[0, 0.03]",TF,test_f1,0.6161616161616161
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/lr_model/lr10/0-0.03_pairwise/lr_input.feat.cnv.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,lr,"[0, 0.03]",TF,test_sen_99spe,0
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/lr_model/lr10/0-0.03_pairwise/lr_input.feat.cnv.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,lr,"[0, 0.03]",TF,test_acc_99spe,0.495
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/lr_model/lr10/0-0.03_pairwise/lr_input.feat.cnv.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,lr,"[0, 0.03]",TF,test_f1_99spe,0
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/lr_model/lr10/0-0.03_pairwise/lr_input.feat.cnv.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,lr,"[0, 0.03]",TF,test_sen_98spe,0
/scratchc/nrlab/wang04/ulyses_results_iteration/iteration_3_merge_below_3/lr_model/lr10/0-0.03_pairwise/lr_input.feat.cnv.tf.0-0.03_pairwise_roc_curve_csv/repeat_10_fold_5_metrics.csv,1,1,lr,"[0, 0.03]",TF,test_acc_98spe,0.49
